datasetid,recordid,record_timestamp,fields.gc_obo_gare_origine_r_code_uic_c,fields.gc_obo_type_c,fields.gc_obo_gare_origine_r_name,fields.gc_obo_nature_c,fields.gc_obo_nom_recordtype_sc_c,fields.date,fields.gc_obo_date_heure_restitution_c
objets-trouves-restitution,86023d4401f4ceb354f762c70410fd881837e980,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à dos,Objet trouvé,2022-02-23T12:21:16+00:00,2022-03-04T06:36:09+00:00
objets-trouves-restitution,1621125a8179389a6db96ac6258ecaad1f800fc8,2023-04-06T09:01:33.082Z,0087547000,Pièces d'identités et papiers personnels,Paris Austerlitz,"Carte d'identité, passeport, permis de conduire",Objet trouvé,2022-02-23T12:01:06+00:00,2022-02-25T16:41:11+00:00
objets-trouves-restitution,f1ae1721804913f1e72162b4c8e3167c50858aa0,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à main,Objet trouvé,2022-02-23T09:55:56+00:00,2022-03-04T06:37:09+00:00
objets-trouves-restitution,2bca2cd73a21016a5bab67a169104c8a9491036e,2023-04-06T09:01:33.082Z,0087547000,"Appareils électroniques, informatiques, appareils photo",Paris Austerlitz,Téléphone portable,Objet trouvé,2022-02-23T08:30:58+00:00,2022-02-26T15:44:20+00:00
objets-trouves-restitution,6b9b46a8468f5d6304ddbcd29246e2891dcb4614,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à dos,Objet trouvé,2022-02-22T14:15:21+00:00,2022-02-22T15:46:46+00:00
objets-trouves-restitution,0a78e637d858f1df55ff84a41e663de374637f18,2023-04-06T09:01:33.082Z,0087547000,"Articles de sport, loisirs, camping",Paris Austerlitz,"Outils, Accesoires",Objet trouvé,2022-02-19T13:38:53+00:00,2022-02-22T12:52:09+00:00
objets-trouves-restitution,7b2bd6b00ef699761c5aac302eb646110e7ee4db,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à main,Objet trouvé,2022-02-19T12:12:39+00:00,2022-03-14T17:40:37+00:00
objets-trouves-restitution,893dc955bd01730f7946791f1e5094a2bcf202cb,2023-04-06T09:01:33.082Z,0087547000,"Porte-monnaie / portefeuille, argent, titres",Paris Austerlitz,"Porte-monnaie, portefeuille",Objet trouvé,2022-02-19T11:13:50+00:00,2022-02-19T15:40:21+00:00
objets-trouves-restitution,9e31a3d2fa238e1214dff59b2af923c197689593,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à dos,Objet trouvé,2022-02-18T16:21:48+00:00,2022-02-18T16:40:39+00:00
objets-trouves-restitution,610c37cfeb843cd172dd8ad5b96b51dcb0a40d78,2023-04-06T09:01:33.082Z,0087547000,"Appareils électroniques, informatiques, appareils photo",Paris Austerlitz,Téléphone portable,Objet trouvé,2022-02-18T13:49:05+00:00,
objets-trouves-restitution,346c6c5500033b392b6ef74ed2a25fbd9591c9f4,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,"Sac de voyage, sac de sport, sac à bandoulière",Objet trouvé,2022-02-18T12:56:13+00:00,2022-03-04T06:38:01+00:00
objets-trouves-restitution,d5afc7757f41f24a659b3df1ec98441c92a2776a,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à dos,Objet trouvé,2022-02-18T09:47:31+00:00,
objets-trouves-restitution,d2bd0bde1ca8dc2969903db458441304c2d29bdd,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à dos,Objet trouvé,2022-02-17T12:21:09+00:00,2022-02-22T13:51:47+00:00
objets-trouves-restitution,b4b8d50f808337409499df112153915f3639be10,2023-04-06T09:01:33.082Z,0087547000,"Porte-monnaie / portefeuille, argent, titres",Paris Austerlitz,"Porte-monnaie, portefeuille",Objet trouvé,2022-02-17T12:07:21+00:00,2022-02-22T13:52:36+00:00
objets-trouves-restitution,ced5caf0b99d29eaf1761a5ce133a76b35ed44c1,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,"Sac de voyage, sac de sport, sac à bandoulière",Objet trouvé,2022-02-17T10:10:21+00:00,2022-02-26T14:39:13+00:00
objets-trouves-restitution,74c2ec86518d517bb058f8105b1ed762e8411ea8,2023-04-06T09:01:33.082Z,0087547000,"Porte-monnaie / portefeuille, argent, titres",Paris Austerlitz,"Porte-monnaie, portefeuille",Objet trouvé,2022-02-17T09:10:22+00:00,2023-02-07T18:41:16+00:00
objets-trouves-restitution,6004893a04aa7cbd6a8453a61c652d4204a43cfe,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à main,Objet trouvé,2022-02-16T18:11:40+00:00,2022-02-18T16:07:34+00:00
objets-trouves-restitution,ccfb998a1b1599cfd0017212aa9852658979c7e0,2023-04-06T09:01:33.082Z,0087547000,"Appareils électroniques, informatiques, appareils photo",Paris Austerlitz,"Tablette tactile protégée (étui, housse)",Objet trouvé,2022-02-16T17:24:00+00:00,2022-02-17T10:19:09+00:00
objets-trouves-restitution,191780778761e1ea89907f3a65c2fb0445da2d59,2023-04-06T09:01:33.082Z,0087547000,"Appareils électroniques, informatiques, appareils photo",Paris Austerlitz,Téléphone portable,Objet trouvé,2022-02-16T17:12:41+00:00,2022-02-18T13:45:26+00:00
objets-trouves-restitution,8ec83a6ffa54e213611a826e83269ca12d9af50f,2023-04-06T09:01:33.082Z,0087547000,"Appareils électroniques, informatiques, appareils photo",Paris Austerlitz,"Téléphone portable protégé (étui, coque,…)",Objet trouvé,2022-02-16T12:45:34+00:00,2022-02-17T11:28:45+00:00
