datasetid,recordid,record_timestamp,fields.gc_obo_gare_origine_r_code_uic_c,fields.gc_obo_date_heure_restitution_c,fields.gc_obo_type_c,fields.gc_obo_gare_origine_r_name,fields.gc_obo_nature_c,fields.gc_obo_nom_recordtype_sc_c,fields.date
objets-trouves-restitution,8bc18389c5822389a1560197d1f86a2bc6930faa,2023-04-06T09:01:33.082Z,0087547000,2019-06-17T15:02:25+00:00,"Porte-monnaie / portefeuille, argent, titres",Paris Austerlitz,"Porte-monnaie, portefeuille",Objet trouvé,2019-06-17T14:54:44+00:00
objets-trouves-restitution,25047069ff8eed5e6c5b968fe9e0674ba10484b9,2023-04-06T09:01:33.082Z,0087547000,2019-06-15T15:28:05+00:00,"Appareils électroniques, informatiques, appareils photo",Paris Austerlitz,Téléphone portable,Objet trouvé,2019-06-15T14:27:56+00:00
objets-trouves-restitution,4bc7d552b3aae34f73243e563754c385c9ed8c64,2023-04-06T09:01:33.082Z,0087547000,2019-06-15T06:44:05+00:00,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,"Sac de voyage, sac de sport, sac à bandoulière",Objet trouvé,2019-06-15T06:41:28+00:00
objets-trouves-restitution,1302df9ccdec859bd3ee1e927b7982bdd5a19950,2023-04-06T09:01:33.082Z,0087547000,2019-06-14T17:32:47+00:00,"Appareils électroniques, informatiques, appareils photo",Paris Austerlitz,"Appareil audio portable (lecteur de CD, baladeur MP3, iPod, ... )",Objet trouvé,2019-06-14T17:26:33+00:00
objets-trouves-restitution,7c95f18e56a01bdc5382c88a76fa4116e5de9f7c,2023-04-06T09:01:33.082Z,0087547000,2019-06-14T15:30:09+00:00,Pièces d'identités et papiers personnels,Paris Austerlitz,Pièce d'identité personnelle et autre,Objet trouvé,2019-06-14T13:33:03+00:00
objets-trouves-restitution,f9ac1570384f1aead8930fabfa0d93b9aeba0455,2023-04-06T09:01:33.082Z,0087547000,2019-06-13T13:29:38+00:00,"Appareils électroniques, informatiques, appareils photo",Paris Austerlitz,"Appareil audio portable (lecteur de CD, baladeur MP3, iPod, ... )",Objet trouvé,2019-06-13T13:22:31+00:00
objets-trouves-restitution,6702c5e3a31a5aba66f15b91bdabc81f1c0fb9cb,2023-04-06T09:01:33.082Z,0087547000,2019-06-15T06:49:34+00:00,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à main,Objet trouvé,2019-06-13T11:18:15+00:00
objets-trouves-restitution,03ad79438f87ea1e6e0ff8c1f3fffba1f48192bb,2023-04-06T09:01:33.082Z,0087547000,2019-06-15T06:49:11+00:00,"Clés, porte-clés, badge magnétique",Paris Austerlitz,"Clés, porte-clés",Objet trouvé,2019-06-13T10:04:18+00:00
objets-trouves-restitution,177aa544acd429d4a2f1b29af2a46b748e2072fb,2023-04-06T09:01:33.082Z,0087547000,2019-06-14T15:29:31+00:00,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,"Sacoche pour ordinateur, photo, vidéo",Objet trouvé,2019-06-12T11:43:37+00:00
objets-trouves-restitution,bccf0d20c667372a2b8e3c09feb284290ffa5a52,2023-04-06T09:01:33.082Z,0087547000,2019-06-20T14:38:36+00:00,"Appareils électroniques, informatiques, appareils photo",Paris Austerlitz,Téléphone portable,Objet trouvé,2019-06-12T10:45:47+00:00
objets-trouves-restitution,faed35532154c9d02e90e1cf3c4b8ffaaf6cd4b5,2023-04-06T09:01:33.082Z,0087547000,2019-06-11T12:22:35+00:00,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à dos,Objet trouvé,2019-06-11T12:20:13+00:00
